team,color1,color2,passing,rushing,points,sacks,ints,fumbles
Arizona Cardinals,9B2743,black,3567,1625,312,42,10,9
Atlanta Falcons,BD0D18,black,4129,1834,402,33,19,10
Baltimore Ravens,purple,black,3423,1996,378,48,15,11
Buffalo Bills,00338D,C60C30,3703,1921,372,29,20,11
Carolina Panthers,black,0088CE,3829,2408,406,31,14,10
Chicago Bears,03202F,DD4814,3011,2015,353,33,20,11
Cincinnati Bengals,FB4F14,black,3340,1778,344,45,10,12
Cleveland Browns,FE3C00,26201E,3090,1531,218,32,9,11
Dallas Cowboys,0D254C,C5CED6,4201,1807,369,42,15,9
Denver Broncos,FB4F14,002244,2434,2632,309,41,9,9
Detroit Lions,006DB0,white,4814,1523,474,41,21,13
Green Bay Packers,203731,FFB612,4924,1558,560,29,31,7
Houston Texans,02253A,B31B34,3506,2448,381,44,17,10
Indianapolis Colts,white,003B7B,2995,1594,243,29,8,9
Jacksonville Jaguars,black,006778,2179,1970,243,31,17,11
Kansas City Chiefs,B20032,F2C800,3080,1893,212,29,20,6
Miami Dolphins,008D97,F5811F,3091,1987,329,41,16,3
Minnesota Vikings,3B0160,F0BF00,2957,2318,340,50,8,15
New England Patriots,0D254C,D6D6D6,5084,1764,513,40,23,11
New Orleans Saints,black,D2B887,5347,2127,547,33,9,7
New York Giants,192F45,white,4734,1427,394,48,20,11
New York Jets,0C371D,white,3297,1692,377,35,19,12
Oakland Raiders,black,C4C8CB,3962,2110,359,39,18,8
Philadelphia Eagles,003B48,white,4110,2276,396,50,15,9
Pittsburgh Steelers,black,FFB612,4054,1903,325,35,11,4
Saint Louis Rams,13264B,C9AF74,2870,1667,193,39,12,6
San Diego Chargers,0C2340,FFB81C,4426,1864,406,32,17,4
San Francisco 49ers,AF1E2C,E6BE8A,2930,2044,380,42,23,15
Seattle Seahawks,002244,69BE28,3105,1756,321,33,22,9
Tampa Bay Buccaneers,D60A0B,89765F,3650,1458,287,23,14,10
Tennessee Titans,0D254C,648FCC,3923,1438,325,28,11,12
Washington Redskins,773141,FFB612,3773,1614,288,41,13,8
