id,name,data_2011,data_2020,percentage
1319,Uttar Pradesh,199812341,239774809,1.2
1307,Maharashtra,112374333,130354226,1.16
1291,Bihar,104099452,130124315,1.25
1321,West Bengal,91276115,103142010,1.13
1288,Andhra Pradesh,84580777,93884662,1.11
1306,Madhya Pradesh,72626809,87152171,1.2
1317,Tamil Nadu,72147030,82969085,1.15
1315,Rajasthan,68548437,82943609,1.21
1303,Karnataka,61095297,70870545,1.16
1298,Gujarat,60439692,71923233,1.19
1312,Orissa,41974218,47850609,1.14
1304,Kerala,33406061,35076364,1.05
1302,Jharkhand,32988134,40245523,1.22
1290,Assam,31205576,36510524,1.17
1314,Punjab,27743338,31627405,1.14
1293,Chhattisgarh,25545198,31165142,1.22
1299,Haryana,25351462,30168240,1.19
1296,Delhi,16787941,20313409,1.21
1301,Jammu Kashmir,12541302,15425801,1.23
1320,Uttarakhand,10086292,12002687,1.19
1300,Himachal Pradesh,6864602,7757000,1.13
1318,Tripura,3673917,4225005,1.15
1309,Meghalaya,2966889,3767949,1.27
1308,Manipur,2855794,3541185,1.24
1311,Nagaland,1978502,1968609,0.995
1297,Goa,1458545,1575229,1.08
1289,Arunachal Pradesh,1383727,1743496,1.26
1313,Puducherry,1247953,1597380,1.28
1310,Mizoram,1097206,1349563,1.23
1292,Chandigarh,1055450,1234877,1.17
1316,Sikkim,610577,683846,1.12
1287,Andaman and Nicobar Islands,380581,407222,1.07
1294,Dadra and Nagar Haveli,343709,536186,1.56
1295,Daman and Diu,243247,372168,1.53
1305,Lakshadweep,64473,68341,1.06
