id,name,2000,data_2010,data_2020,percentage
1468,Hokkaido,5683000,4549527,4449473,0.97
1459,Aomori,1476000,941163,899752,0.956
1472,Iwate,1416000,941403,899981,0.956
1480,Miyagi,2365000,2249375,2136906,0.95
1458,Akita,1189000,697052,693427,0.9948
1501,Yamagata,1244000,835707,803114,0.961
1464,Fukushima,2127000,1568501,1507329,0.961
1470,Ibaraki,2986000,2926815,2920961,0.998
1495,Tochigi,2005000,1926228,1849179,0.96
1466,Gumma,2025000,1868709,1853759,0.992
1491,Saitama,6938000,8457383,8626531,1.02
1460,Chiba,5926000,7660114,7813316,1.02
1497,Tokyo,12064000,18915080,19671683,1.04
1475,Kanagawa,8490000,11299558,11638545,1.03
1485,Niigata,2476000,1961988,1916862,0.977
1499,Toyama,1121000,944367,928313,0.983
1471,Ishikawa,1181000,1134601,1089217,0.96
1462,Fukui,829000,684297,671295,0.981
1503,Yamanashi,888000,696484,679768,0.976
1482,Nagano,2215000,1809816,1773620,0.98
1465,Gifu,2108000,1849448,1825405,0.987
1494,Shizuoka,3767000,3511463,3486883,0.993
1457,Aichi,7043000,8755212,8930316,1.02
1479,Mie,1857000,1731029,1718912,0.993
1492,Shiga,1343000,1669494,1702884,1.02
1478,Kyoto,2644000,2540124,2529964,0.996
1489,Osaka,8805000,7963084,8361238,1.05
1469,Hyogo,5551000,4821036,4772826,0.99
1484,Nara,1443000,1031647,1017204,0.986
1500,Wakayama,1070000,789043,763005,0.967
1498,Tottori,613000,438253,425105,0.97
1493,Shimane,762000,717494,693817,1.0
1487,Okayama,1951000,1837051,1826029,0.994
1467,Hiroshima,2879000,2167227,2154224,0.994
1502,Yamaguchi,1528000,1126784,1095234,0.972
1496,Tokushima,824000,701258,680220,0.97
1473,Kagawa,1023000,794185,781478,0.984
1461,Ehime,1493000,992595,967780,0.975
1476,Kochi,814000,847152,813266,0.96
1463,Fukuoka,5016000,4015560,4176182,1.04
1490,Saga,877000,723918,710164,0.981
1483,Nagasaki,1517000,1062328,1025147,0.965
1477,Kumamoto,1859000,1630989,1573904,0.965
1486,Oita,1221000,1093147,1081122,0.989
1481,Miyazaki,1170000,1005885,990797,0.985
1474,Kagoshima,1786000,1358344,1321669,0.973
1488,Okinawa,1318000,1654519,1687609,1.02
