id,name,data_2010,data_2020,percentage
3191,Alabama,4779736,5114318,1.07
3193,Arizona,6392017,7926101,1.24
3194,Arkansas,2915918,3178351,1.09
3195,California,37253956,40979352,1.1
3196,Colorado,5029196,5884159,1.17
3197,Connecticut,3576165,3754973,1.05
3198,Delaware,897934,1023645,1.14
3199,District of Columbia,602511,632637,1.05
3200,Florida,18801310,21997533,1.17
3201,Georgia,9814161,11580710,1.18
3203,Idaho,1594415,1929242,1.21
3204,Illinois,12835270,13220328,1.03
3205,Indiana,6493928,6883564,1.06
3206,Iowa,3048541,3170483,1.04
3207,Kansas,2856987,3028406,1.06
3208,Kentucky,4351019,4655590,1.07
3209,Louisiana,4531937,4577256,1.01
3210,Maine,1329493,1382673,1.04
3211,Maryland,5792946,6314311,1.09
3212,Massachusetts,6548687,6745148,1.03
3213,Michigan,9878974,9286236,0.994
3214,Minnesota,5316951,5689138,1.07
3215,Mississippi,2969373,3088148,1.04
3216,Missouri,5999446,6419407,1.07
3217,Montana,993628,1083055,1.09
3218,Nebraska,1829437,1939203,1.06
3219,Nevada,2821463,3808975,1.35
3220,New Hamshire,1318503,1397613,1.06
3221,New Jersey,8800756,9152786,1.04
3222,New Mexico,2073937,2343549,1.13
3223,New York,19378750,19766325,1.02
3224,North Carolina,9668724,11409094,1.18
3225,North Dakota,673030,699951,1.04
3226,Ohio,11536104,11651465,1.01
3227,Oklahoma,3762891,4063922,1.08
3228,Oregon,3854862,4317445,1.12
3229,Pennsylvania,12705057,13086209,1.03
3230,Rhode Island,1052520,1056730,1.004
3231,South Carolina,4669884,5370367,1.15
3232,South Dakota,816642,881973,1.08
3233,Tennessee,6378468,7080099,1.11
3234,Texas,25568168,30681802,1.2
3235,Utah,2825354,3475185,1.23
3236,Vermont,626091,644874,1.03
3237,Virginia,8054463,9101543,1.13
3238,Washington,6779956,7729150,1.14
3239,West Virginia,1854065,1891146,1.02
3240,Wisconsin,5694325,6035985,1.06
3241,Wyoming,567993,647512,1.14
