date_entered,hails,company,,,,
9/1/2014,25452,Uber/Lyft,,,,
9/1/2014,35898,GreenTaxi,,,,
9/2/2014,33298,Uber/Lyft,,,,
9/2/2014,36957,GreenTaxi,,,,
9/3/2014,37301,Uber/Lyft,,,,
9/3/2014,39453,GreenTaxi,,,,
9/4/2014,43250,Uber/Lyft,,,,
9/4/2014,43364,GreenTaxi,,,,
9/5/2014,48067,Uber/Lyft,,,,
9/5/2014,50243,GreenTaxi,,,,
9/6/2014,48242,Uber/Lyft,,,,
9/6/2014,59470,GreenTaxi,,,,
9/7/2014,36931,Uber/Lyft,,,,
9/7/2014,48610,GreenTaxi,,,,
9/8/2014,34209,Uber/Lyft,,,,
9/8/2014,37010,GreenTaxi,,,,
9/9/2014,38455,Uber/Lyft,,,,
9/9/2014,37694,GreenTaxi,,,,
9/10/2014,40172,Uber/Lyft,,,,
9/10/2014,39746,GreenTaxi,,,,
9/11/2014,41311,Uber/Lyft,,,,
9/11/2014,42838,GreenTaxi,,,,
9/12/2014,44162,Uber/Lyft,,,,
9/12/2014,51430,GreenTaxi,,,,
9/13/2014,48431,Uber/Lyft,,,,
9/13/2014,64184,GreenTaxi,,,,
9/14/2014,32238,Uber/Lyft,,,,
9/14/2014,51675,GreenTaxi,,,,
9/15/2014,31641,Uber/Lyft,,,,
9/15/2014,37400,GreenTaxi,,,,
9/16/2014,38120,Uber/Lyft,,,,
9/16/2014,39642,GreenTaxi,,,,
9/17/2014,37680,Uber/Lyft,,,,
9/17/2014,39566,GreenTaxi,,,,
9/18/2014,42638,Uber/Lyft,,,,
9/18/2014,43899,GreenTaxi,,,,
9/19/2014,43861,Uber/Lyft,,,,
9/19/2014,52115,GreenTaxi,,,,
9/20/2014,42890,Uber/Lyft,,,,
9/20/2014,60211,GreenTaxi,,,,
9/21/2014,31741,Uber/Lyft,,,,
9/21/2014,50535,GreenTaxi,,,,
9/22/2014,30198,Uber/Lyft,,,,
9/22/2014,37103,GreenTaxi,,,,
9/23/2014,32344,Uber/Lyft,,,,
9/23/2014,38492,GreenTaxi,,,,
9/24/2014,33544,Uber/Lyft,,,,
9/24/2014,40373,GreenTaxi,,,,
9/25/2014,41094,Uber/Lyft,,,,
9/25/2014,43249,GreenTaxi,,,,
9/26/2014,40593,Uber/Lyft,,,,
9/26/2014,49660,GreenTaxi,,,,
9/27/2014,44023,Uber/Lyft,,,,
9/27/2014,61248,GreenTaxi,,,,
9/28/2014,34165,Uber/Lyft,,,,
9/28/2014,51832,GreenTaxi,,,,
9/29/2014,31832,Uber/Lyft,,,,
9/29/2014,37657,GreenTaxi,,,,
9/30/2014,35802,Uber/Lyft,,,,
9/30/2014,38665,GreenTaxi,,,,
