date_entered,hails,company,,,
9/1/2014,19961,Uber,,,
9/1/2014,5491,Lyft,,,
9/2/2014,28831,Uber,,,
9/2/2014,4467,Lyft,,,
9/3/2014,32631,Uber,,,
9/3/2014,4670,Lyft,,,
9/4/2014,38360,Uber,,,
9/4/2014,4890,Lyft,,,
9/5/2014,42319,Uber,,,
9/5/2014,5748,Lyft,,,
9/6/2014,40520,Uber,,,
9/6/2014,7722,Lyft,,,
9/7/2014,30134,Uber,,,
9/7/2014,6797,Lyft,,,
9/8/2014,30360,Uber,,,
9/8/2014,3849,Lyft,,,
9/9/2014,34560,Uber,,,
9/9/2014,3895,Lyft,,,
9/10/2014,35910,Uber,,,
9/10/2014,4262,Lyft,,,
9/11/2014,36439,Uber,,,
9/11/2014,4872,Lyft,,,
9/12/2014,39540,Uber,,,
9/12/2014,4712,Lyft,,,
9/13/2014,43205,Uber,,,
9/13/2014,5226,Lyft,,,
9/14/2014,28122,Uber,,,
9/14/2014,4116,Lyft,,,
9/15/2014,29454,Uber,,,
9/15/2014,2187,Lyft,,,
9/16/2014,36092,Uber,,,
9/16/2014,2028,Lyft,,,
9/17/2014,35531,Uber,,,
9/17/2014,2149,Lyft,,,
9/18/2014,40274,Uber,,,
9/18/2014,2364,Lyft,,,
9/19/2014,41017,Uber,,,
9/19/2014,2844,Lyft,,,
9/20/2014,38864,Uber,,,
9/20/2014,4026,Lyft,,,
9/21/2014,28260,Uber,,,
9/21/2014,3481,Lyft,,,
9/22/2014,28312,Uber,,,
9/22/2014,1886,Lyft,,,
9/23/2014,30316,Uber,,,
9/23/2014,2028,Lyft,,,
9/24/2014,31301,Uber,,,
9/24/2014,2243,Lyft,,,
9/25/2014,38203,Uber,,,
9/25/2014,2891,Lyft,,,
9/26/2014,37504,Uber,,,
9/26/2014,3089,Lyft,,,
9/27/2014,39468,Uber,,,
9/27/2014,4555,Lyft,,,
9/28/2014,29656,Uber,,,
9/28/2014,4509,Lyft,,,
9/29/2014,29201,Uber,,,
9/29/2014,2631,Lyft,,,
9/30/2014,33431,Uber,,,
9/30/2014,2371,Lyft,,,
