County,China_National_Party,Democratic_Progressive_Party,Other,Blue_Vote,Green_Vote,English_Name
台北市,21.9,37.64,39.79,347564,597465,Taipei City
新北市,22.37,36.73,40.26,451707,741659,New Taipei City
基隆市,21.52,30.84,47.01,48545,69555,Keelung City
宜蘭縣,19.51,47.3,33.05,51082,123157,Yilan County
桃園市,22.15,31.72,43.83,208881,299120,Taoyuan City
新竹縣,20.69,24.25,51.58,51442,61533,Hsinchu County
新竹市,22.4,33.97,42.83,46234,69760,Hsinchu City
苗栗縣,22.2,26.81,49.54,71798,86707,Miaoli County
台中市,21.19,36.86,41.37,111391,193796,Taichung City
彰化縣,25.71,40.05,33.71,191685,298571,Changhua County
南投縣,18.15,34.49,46.94,56025,106440,Nantou County
雲林縣,24.78,45.99,27.7,102177,193715,Yunlin County
嘉義縣,23.06,49.49,26.98,73409,157512,Chiayi County
嘉義市,23.24,47.01,29.34,34670,70124,Chiayi City
台南市,25.93,45.06,27.53,107679,191261,Tainan City
高雄市,23.97,45.79,29.78,208544,398381,Kaohsiung City
屏東縣,27.73,45.28,25.48,142934,238572,Pingtung County
花蓮縣,19.28,21.24,58.81,36042,40044,Hualian County
台東縣,23.66,23.2,52.78,28659,28102,Taitung County
澎湖縣,23.25,36.79,39.55,10418,16487,Penghu County
金門縣,14.5,3.11,81.81,3543,759,Kinmen County
連江縣,24.43,1.8,73.31,787,58,Lienchiang County
